nf_value,count,tier,matched_canonical,brand,lev
INTEGON INDEMNITY CORPORATION,13,exact,Integon Indemnity Corporation,,0
LIBERTY INSURANCE CORPORATION,13,exact,Liberty Insurance Corporation,,0
LM INSURANCE CORPORATION,12,exact,LM Insurance Corporation,,0
BLACK CAR FUND,12,exact,Black Car Fund,,0
COMMERCE INSURANCE COMPANY,12,exact,Commerce Insurance Company,,0
"Ace Property And Casualty Insurance Company,",12,exact,ACE Property and Casualty Insurance Company,,0
American Automobile Insurance Company,12,exact,American Automobile Insurance Company,,0
St. Paul Protective Insurance Company,12,exact,St. Paul Protective Insurance Company,,0
NATIONAL CONTINENTAL INSURANCE COMPANY,11,exact,National Continental Insurance Company,,0
GEICO CASUALTY COMPANY,11,exact,GEICO Casualty Company,,0
THE TRAVELERS HOME AND MARINE INSURANCE COMPANY,11,exact,Travelers Home and Marine Insurance Company,,0
CENTRAL INSURANCE COMPANY,11,exact,Central Insurance Company,,0
TRAVELERS INDEMNITY COMPANY OF AMERICA,11,exact,Travelers Indemnity Company of America,,0
Progressive Direct Insurance Company,10,exact,Progressive Direct Insurance Company,,0
CHARTER OAK FIRE INSURANCE COMPANY,10,exact,Charter Oak Fire Insurance Company,,0
CINCINNATI INSURANCE COMPANY,10,exact,Cincinnati Insurance Company,,0
HELMSMAN MANAGEMENT SERVICES,9,exact,Helmsman Management Services,,0
CCMSI,9,exact,"CCMSI, Inc.",,0
ECONOMY PREMIER ASSURANCE COMPANY,9,exact,Economy Premier Assurance Company,,0
"AVIS RENT A CAR,",9,exact,Avis Rent a Car,,0
TRAVELERS PROPERTY CASUALTY COMPANY OF AMERICA,8,exact,Travelers Property Casualty Company of America,,0
NATIONAL INTERSTATE INSURANCE COMPANY,8,exact,National Interstate Insurance Company,,0
HARTFORD CASUALTY INSURANCE COMPANY,8,exact,Hartford Casualty Insurance Company,,0
AMERICAN ZURICH INSURANCE COMPANY,8,exact,American Zurich Insurance Company,,0
UNITED FINANCIAL CASUALTY COMPANY,8,exact,United Financial Casualty Company,,0
"State National Insurance Company, Inc.",8,exact,"State National Insurance Company, Inc.",,0
ARCH INSURANCE COMPANY,7,exact,Arch Insurance Company,,0
AMERISURE INSURANCE COMPANY,7,exact,Amerisure Insurance Company,,0
MIDVALE INDEMNITY COMPANY,7,exact,Midvale Indemnity Company,,0
CHUBB INDEMNITY INSURANCE COMPANY,6,exact,Chubb Indemnity Insurance Company,,0
"ARBELLA PROTECTION INSURANCE COMPANY, INC.",6,exact,"Arbella Protection Insurance Company, Inc.",,0
SENTRY SELECT INSURANCE COMPANY,6,exact,Sentry Select Insurance Company,,0
HARTFORD FIRE INSURANCE COMPANY,6,exact,Hartford Fire Insurance Company,,0
GREAT AMERICAN ALLIANCE INSURANCE COMPANY,6,exact,Great American Alliance Insurance Company,,0
ALLSTATE PROPERTY & CASUALTY INSURANCE COMPANY,6,exact,Allstate Property and Casualty Insurance Company,,0
TRITON INSURANCE COMPANY,6,exact,Triton Insurance Company,,0
CRUM AND FORSTER INSURANCE COMPANY,5,exact,Crum and Forster Insurance Company,,0
TRAVELERS CASUALTY COMPANY OF CONNECTICUT,5,exact,Travelers Casualty Company of Connecticut,,0
INFINITY AUTO INSURANCE COMPANY,5,exact,Infinity Auto Insurance Company,,0
STILLWATER INSURANCE COMPANY,5,exact,Stillwater Insurance Company,,0
ERIE INSURANCE EXCHANGE,5,exact,Erie Insurance Exchange,,0
American Family Connect Property and Casualty Insurance Company,5,exact,American Family Connect Property and Casualty Insurance Company,,0
SELECTIVE INSURANCE COMPANY OF AMERICA,5,exact,Selective Insurance Company of America,,0
GENERAL INSURANCE COMPANY OF AMERICA,4,exact,General Insurance Company of America,,0
NORGUARD INSURANCE COMPANY,4,exact,NorGUARD Insurance Company,,0
UTICA NATIONAL INSURANCE COMPANY OF TEXAS,4,exact,Utica National Insurance Company of Texas,,0
AMERICAN ECONOMY INSURANCE COMPANY,4,exact,American Economy Insurance Company,,0
THE TRAVELERS INDEMNITY COMPANY,4,exact,Travelers Indemnity Company,,0
AXIS INSURANCE COMPANY,4,exact,AXIS Insurance Company,,0
"Metropolitan General Insurance Company,",4,exact,Metropolitan General Insurance Company,,0
State National Insurance Company,4,exact,"State National Insurance Company, Inc.",,0
Protective Insurance Company,4,exact,Protective Insurance Company,,0
CSAA Fire & Casualty Insurance Company,4,exact,CSAA Fire & Casualty Insurance Company,,0
Continental Casualty Company,4,exact,Continental Casualty Company,,0
Safety National Casualty Corporation,4,exact,Safety National Casualty Corporation,,0
21ST CENTURY NORTH AMERICA INSURANCE COMPANY,3,exact,21st Century North America Insurance Company,,0
NGM INSURANCE COMPANY,3,exact,NGM Insurance Company,,0
HARLEYSVILLE INSURANCE COMPANY,3,exact,Harleysville Insurance Company,,0
WAUSAU UNDERWRITERS INSURANCE COMPANY,3,exact,Wausau Underwriters Insurance Company,,0
MERCHANTS PREFERRED INSURANCE COMPANY,3,exact,Merchants Preferred Insurance Company,,0
CONTINENTAL INSURANCE COMPANY,3,exact,Continental Insurance Company,,0
ARCH INDEMNITY INSURANCE COMPANY,3,exact,Arch Indemnity Insurance Company,,0
GEICO INDEMNITY COMPANY,3,exact,GEICO Indemnity Company,,0
FOUNDERS INSURANCE COMPANY,3,exact,Founders Insurance Company,,0
SENTRY INSURANCE COMPANY,3,exact,Sentry Insurance Company,,0
Clear Spring Property and Casualty Company,3,exact,Clear Spring Property and Casualty Company,,0
MAIN STREET AMERICA ASSURANCE COMPANY,3,exact,Main Street America Assurance Company,,0
"ESURANCE INSURANCE COMPANY,",3,exact,Esurance Insurance Company,,0
"Chubb National Insurance Company,",3,exact,Chubb National Insurance Company,,0
AMERICAN AUTOMOBILE INSURANCE COMPANY,3,exact,American Automobile Insurance Company,,0
ALLMERICA FINANCIAL ALLIANCE INSURANCE COMPANY,2,exact,Allmerica Financial Alliance Insurance Company,,0
NORTH RIVER INSURANCE COMPANY,2,exact,North River Insurance Company,,0
TRAVELERS INDEMNITY COMPANY,2,exact,Travelers Indemnity Company,,0
FARMINGTON CASUALTY COMPANY,2,exact,Farmington Casualty Company,,0
HARTFORD INSURANCE COMPANY OF ILLINOIS,2,exact,Hartford Insurance Company of Illinois,,0
AIU INSURANCE COMPANY,2,exact,AIU Insurance Company,,0
FEDERATED MUTUAL INSURANCE COMPANY,2,exact,Federated Mutual Insurance Company,,0
UNITRIN AUTO AND HOME INSURANCE COMPANY,2,exact,Unitrin Auto and Home Insurance Company,,0
FARMERS INSURANCE EXCHANGE,2,exact,Farmers Insurance Exchange,,0
CAROLINA CASUALTY INSURANCE COMPANY,2,exact,Carolina Casualty Insurance Company,,0
WESCO INSURANCE COMPANY,2,exact,WESCO Insurance Company,,0
TRUMBULL INSURANCE COMPANY,2,exact,Trumbull Insurance Company,,0
UNITED STATES FIRE INSURANCE COMPANY,2,exact,United States Fire Insurance Company,,0
KINGSTONE INSURANCE COMPANY,2,exact,Kingstone Insurance Company,,0
TRANSPORTATION INSURANCE COMPANY,2,exact,Transportation Insurance Company,,0
HARTFORD INSURANCE COMPANY OF THE MIDWEST,2,exact,Hartford Insurance Company of the Midwest,,0
CHUBB NATIONAL INSURANCE COMPANY,2,exact,Chubb National Insurance Company,,0
NATIONWIDE ASSURANCE COMPANY,2,exact,Nationwide Assurance Company,,0
PENNSYLVANIA MANUFACTURERS ASSOCIATION INSURANCE COMPANY TPA PMA MANAGEMENT GROUP,2,exact,Pennsylvania Manufacturers Association Insurance Company TPA PMA Management Group,,0
