nf_value,count,tier,matched_canonical,brand,lev
KEMPER CLAIMS DEPARTMENT,1,unmatched,"Great Plains Casualty, Inc.",17
Old Republic Insurance Group C/O Pennsylvania Manufacturers Association,1,unmatched,,99
GREAT AMERICAN INSURANCE,1,unmatched,"Tesla General Insurance, Inc.",11
KEMPER INS CO,1,unmatched,Avis Rent a Car,12
HEALTH FIRST,1,unmatched,Black Car Fund,12
PREMIER PRIZM SOLUTIONS,1,unmatched,Amica c/o Prizm [Electronic],16
MARYLAND AUTOMOBILE INSURANCE COMPANY,1,unmatched,American Automobile Insurance Company,5
DEPT. OF LABOR,1,unmatched,Sedgwick Claims,11
Northbridge Financial Corporation,1,unmatched,Westport Insurance Corporation,16
FARMERS NEW CENTURY Ins. Co.,1,unmatched,"Farmers Insurance Hawaii, Inc.",16
THE HARTFORD INSURANCE GROUP,1,unmatched,Hartford Insurance Company,6
CURE INSURANCE - NF,1,unmatched,ARI Insurance Company,9
NYC CONTROLLERS,1,unmatched,Avis Rent a Car,12
TRISURA,1,unmatched,"CCMSI, Inc.",6
STATE WIDE INSURANCE COMPANY,1,unmatched,Country-Wide Insurance Company,6
FRIEDLANDER GROUP (WC),1,unmatched,ARI Insurance Company,15
ANTHEM,1,unmatched,"CCMSI, Inc.",6
NIPPON LIFE INS COMP,1,unmatched,Ironshore Indemnity Inc.,14
PRO-RISK SOLUTIONS,1,unmatched,Sedgwick Claims,12
COAST NATIONAL INS. CO.,1,unmatched,"Tokio Marine GRV Re, Inc.",14
SANITATION MEDICAL DIVISION,1,unmatched,Citation Insurance Company,18
Test Company,1,unmatched,MTA Bus Company,6
GARRISON PROPERTY & CASUALTY INSURANCE CO.,1,unmatched,ALPS Property & Casualty Insurance Company,11
Manufacturers Alliance Insurance Co,1,unmatched,Eastern Alliance Insurance Company,14
NATIONAL FIRE INSURANCE COMPANY,1,unmatched,Hartford Fire Insurance Company,6
